# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "3" "-t" "exon" "-g" "Parent" "-a" "../Reference_data/genomic.gff" "-o" "feature_counts.txt" "-p" "SRR10775299_tot.bam" "SRR10775298_dep.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10775299_tot.bam	SRR10775298_dep.bam
rna-BSU_rRNA_1	NC_000964.3	9810	11364	+	1555	130793	7331
rna-BSU_tRNA_5	NC_000964.3	11464	11540	+	77	0	23
rna-BSU_tRNA_6	NC_000964.3	11552	11627	+	76	75	116
rna-BSU_rRNA_2	NC_000964.3	11709	14636	+	2928	238738	19356
rna-BSU_rRNA_3	NC_000964.3	14692	14810	+	119	190	49
rna-BSU_misc_RNA_1	NC_000964.3	20611	20823	+	213	31	1444
rna-BSU_tRNA_7	NC_000964.3	22292	22384	+	93	90	4481
rna-BSU_misc_RNA_2	NC_000964.3	26379	26732	+	354	79	3634
rna-BSU_rRNA_4	NC_000964.3	30279	31832	+	1554	128488	7148
rna-BSU_tRNA_8	NC_000964.3	31932	32008	+	77	1	27
rna-BSU_tRNA_9	NC_000964.3	32020	32095	+	76	93	139
rna-BSU_rRNA_5	NC_000964.3	32177	35103	+	2927	233718	19126
rna-BSU_rRNA_26	NC_000964.3	35237	35355	+	119	243	74
rna-BSU_tRNA_10	NC_000964.3	70181	70257	+	77	3	236
rna-BSU_tRNA_11	NC_000964.3	70267	70338	+	72	1	396
rna-BSU_rRNA_6	NC_000964.3	90536	92089	+	1554	133823	7481
rna-BSU_rRNA_7	NC_000964.3	92254	95181	+	2928	239680	19396
rna-BSU_rRNA_8	NC_000964.3	95237	95354	+	118	136	41
rna-BSU_tRNA_12	NC_000964.3	95375	95450	+	76	3	118
rna-BSU_tRNA_13	NC_000964.3	95455	95530	+	76	7	286
rna-BSU_tRNA_14	NC_000964.3	95567	95642	+	76	3	264
rna-BSU_tRNA_15	NC_000964.3	95649	95731	+	83	29	527
rna-BSU_tRNA_16	NC_000964.3	95772	95846	+	75	4	196
rna-BSU_tRNA_17	NC_000964.3	95861	95946	+	86	4	345
rna-BSU_tRNA_18	NC_000964.3	95956	96032	+	77	0	91
rna-BSU_tRNA_19	NC_000964.3	96060	96136	+	77	5	74
rna-BSU_tRNA_20	NC_000964.3	96146	96221	+	76	24	128
rna-BSU_rRNA_9	NC_000964.3	96392	97945	+	1554	129247	7252
rna-BSU_rRNA_10	NC_000964.3	98110	101037	+	2928	240929	19759
rna-BSU_rRNA_11	NC_000964.3	101093	101211	+	119	169	35
