Geneid	Chr	Start	End	Strand	Length	depleted	total
rna-CCNA_R0094	NC_011916.1	1	182	-	182	25	3
rna-CCNA_R0095	NC_011916.1	4292	4950	-	659	586	27
rna-CCNA_R0096	NC_011916.1	13417	13499	+	83	25	1
rna-CCNA_R0097	NC_011916.1	30271	30354	-	84	8	1
rna-CCNA_R0098	NC_011916.1	45805	46002	-	198	2734	36
rna-CCNA_R0001	NC_011916.1	76150	76225	+	76	1059	9
rna-CCNA_R0002	NC_011916.1	96456	96584	-	129	392	11
rna-CCNA_R0099	NC_011916.1	124027	124282	-	256	105	3
rna-CCNA_R0100	NC_011916.1	165492	165575	+	84	36	1
rna-CCNA_R0003	NC_011916.1	200125	200201	-	77	401	6
rna-CCNA_R0004	NC_011916.1	210637	210769	-	133	53	2
rna-CCNA_R0101	NC_011916.1	232420	232497	+	78	20	1
rna-CCNA_R0005	NC_011916.1	281946	282042	+	97	50377	130
rna-CCNA_R0102	NC_011916.1	323716	323778	-	63	72	3
rna-CCNA_R0103	NC_011916.1	339708	339810	+	103	230	2
rna-CCNA_R0200	NC_011916.1	348195	348216	-	22	13	1
rna-CCNA_R0104	NC_011916.1	362113	362212	-	100	46	5
rna-CCNA_R0105	NC_011916.1	372505	372817	-	313	176	4
rna-CCNA_R0106	NC_011916.1	396704	396827	-	124	32	2
rna-CCNA_R0201	NC_011916.1	409219	409296	+	78	164	1
rna-CCNA_R0107	NC_011916.1	422074	422176	+	103	36	0
rna-CCNA_R0006	NC_011916.1	464754	464843	+	90	17	1
rna-CCNA_R0108	NC_011916.1	472905	472973	+	69	79	5
rna-CCNA_R0007	NC_011916.1	499085	499174	-	90	8321	82
rna-CCNA_R0202	NC_011916.1	518733	518754	-	22	48	1
rna-CCNA_R0109	NC_011916.1	553414	553828	-	415	1711	56
rna-CCNA_R0110	NC_011916.1	563800	564505	-	706	520	11
rna-CCNA_R0008	NC_011916.1	582032	582108	+	77	864	6
rna-CCNA_R0203	NC_011916.1	604150	604199	+	50	3	0
rna-CCNA_R0111	NC_011916.1	622892	623341	+	450	24	1
rna-CCNA_R0112	NC_011916.1	626656	626908	+	253	36	1
rna-CCNA_R0113	NC_011916.1	684418	684508	-	91	43	2
rna-CCNA_R0114	NC_011916.1	691049	691611	+	563	168	8
rna-CCNA_R0009	NC_011916.1	708218	708312	+	95	82	4
rna-CCNA_R0010	NC_011916.1	720365	720441	-	77	165	3
rna-CCNA_R0115	NC_011916.1	733806	733871	-	66	441	45
rna-CCNA_R0011	NC_011916.1	735387	735530	-	144	445	9
rna-CCNA_R0116	NC_011916.1	757024	757263	-	240	405	11
rna-CCNA_R0012	NC_011916.1	758663	758806	-	144	422	10
rna-CCNA_R0117	NC_011916.1	772628	773769	+	1142	760	35
rna-CCNA_R0118	NC_011916.1	808729	808841	+	113	1319	21
rna-CCNA_R0119	NC_011916.1	814045	814185	-	141	1104	27
rna-CCNA_R0120	NC_011916.1	818770	818899	+	130	61	1
rna-CCNA_R0013	NC_011916.1	826839	826953	+	115	9	0
rna-CCNA_R0014	NC_011916.1	840137	840219	+	83	5	0
rna-CCNA_R0015	NC_011916.1	842304	842378	+	75	1171	11
rna-CCNA_R0016	NC_011916.1	844332	844401	+	70	26	2
rna-CCNA_R0121	NC_011916.1	847992	848150	-	159	35	1
rna-CCNA_R0122	NC_011916.1	892718	892861	+	144	92	2
rna-CCNA_R0017	NC_011916.1	900614	900704	+	91	63	2
rna-CCNA_R0204	NC_011916.1	906970	907029	+	60	2	0
rna-CCNA_R0018	NC_011916.1	920425	920663	+	239	31	1
rna-CCNA_R0019	NC_011916.1	920579	920752	-	174	328	3
rna-CCNA_R0123	NC_011916.1	921612	921719	-	108	895	24
rna-CCNA_R0205	NC_011916.1	931655	931690	+	36	5	0
rna-CCNA_R0124	NC_011916.1	938932	939706	+	775	147	2
rna-CCNA_R0020	NC_011916.1	970059	970156	+	98	2	0
rna-CCNA_R0125	NC_011916.1	1014360	1014431	-	72	5	0
rna-CCNA_R0021	NC_011916.1	1056960	1057036	-	77	131	3
rna-CCNA_R0022	NC_011916.1	1057201	1057274	+	74	871	17
rna-CCNA_R0126	NC_011916.1	1080923	1081336	-	414	74	2
rna-CCNA_R0023	NC_011916.1	1094451	1094527	-	77	288	8
rna-CCNA_R0127	NC_011916.1	1100899	1101052	-	154	2408	58
rna-CCNA_R0128	NC_011916.1	1123037	1123071	-	35	86	0
rna-CCNA_R0129	NC_011916.1	1128325	1128505	+	181	17607	189
