Gene_ID	Read_Counts_Depleted	Read_Counts_Total	Gene_Length	DepletedRPKM	TotalRPKM
rna-CCNA_R0094	25	3	182	117.112483598631	4.11727033343187
rna-CCNA_R0095	586	27	659	758.135393065929	10.2338221641296
rna-CCNA_R0096	25	1	83	256.80086765001	3.00941044451647
rna-CCNA_R0097	8	1	84	81.1979886283841	2.97358412970079
rna-CCNA_R0098	2734	36	198	11772.4780785607	45.4147394354303
rna-CCNA_R0001	1059	9	76	11880.0136125436	29.5793368691289
rna-CCNA_R0002	392	11	129	2590.78233484053	21.2991607429731
rna-CCNA_R0099	105	3	256	349.690556495287	2.92712187767422
rna-CCNA_R0100	36	1	84	365.390948827728	2.97358412970079
rna-CCNA_R0003	401	6	77	4440.05365090664	19.4634597580416
rna-CCNA_R0004	53	2	133	339.749478734554	3.75610626909574
rna-CCNA_R0101	20	1	78	218.609969384111	3.20232137044701
rna-CCNA_R0005	50377	130	97	442787.281112238	334.758130890028
rna-CCNA_R0102	72	3	63	974.375863540609	11.8943365188032
rna-CCNA_R0103	230	2	103	1903.81691784027	4.85011780378382
rna-CCNA_R0200	13	1	22	503.796611262474	11.3536848588576
rna-CCNA_R0104	46	5	100	392.186285075095	12.4890533447433
rna-CCNA_R0105	176	4	313	479.405376949693	3.19209031175548
rna-CCNA_R0106	32	2	124	220.020356283363	4.02872688540107
rna-CCNA_R0201	164	1	78	1792.60174894971	3.20232137044701
rna-CCNA_R0107	36	0	103	297.988734966303	0
rna-CCNA_R0006	17	1	90	161.042677446295	2.77534518772074
rna-CCNA_R0108	79	5	69	976.141037206443	18.1000773112222
rna-CCNA_R0007	8321	82	90	78825.6540606248	227.578305393101
rna-CCNA_R0202	48	1	22	1860.17210312298	11.3536848588576
rna-CCNA_R0109	1711	56	415	3515.09027639334	33.7053969785844
rna-CCNA_R0110	520	11	706	627.961781743594	3.89177299694552
rna-CCNA_R0008	864	6	77	9566.59938748962	19.4634597580416
rna-CCNA_R0203	3	0	50	51.154732835882	0
rna-CCNA_R0111	24	1	450	45.4708736318951	0.555069037544148
rna-CCNA_R0112	36	1	253	121.315571942803	0.987276944248485
rna-CCNA_R0113	43	2	91	402.86694357929	5.48969377790916
rna-CCNA_R0114	168	8	563	254.410749450212	3.54928691857715
rna-CCNA_R0009	82	4	95	735.910191674092	10.5170975534681
rna-CCNA_R0010	165	3	77	1826.95474413864	9.73172987902078
rna-CCNA_R0115	441	45	66	5696.77706581413	170.305272882864
rna-CCNA_R0011	445	9	144	2634.70556851475	15.6113166809292
rna-CCNA_R0116	405	11	240	1438.72686100918	11.4482988993481
rna-CCNA_R0012	422	10	144	2498.5297750859	17.3459074232546
rna-CCNA_R0117	760	35	1142	567.390498471546	7.65528663863427
rna-CCNA_R0118	1319	21	113	9951.78357087438	46.4194903078956
rna-CCNA_R0119	1104	27	141	6675.51123532077	47.8304170649745
rna-CCNA_R0120	61	1	130	400.056243972923	1.9213928222682
rna-CCNA_R0013	9	0	115	66.7235645685417	0
rna-CCNA_R0014	5	0	83	51.360173530002	0
rna-CCNA_R0015	1171	11	75	13311.5982557373	36.6345564779138
rna-CCNA_R0016	26	2	70	316.672155650698	7.1366019112819
rna-CCNA_R0121	35	1	159	187.674596358058	1.57095010625702
rna-CCNA_R0122	92	2	144	544.70317371541	3.46918148465093
rna-CCNA_R0017	63	2	91	590.2469173371	5.48969377790916
rna-CCNA_R0204	2	0	60	28.4192960199344	0
rna-CCNA_R0018	31	1	239	110.585545182172	1.04510906650572
rna-CCNA_R0019	328	3	174	1607.16018871353	4.30657011887701
rna-CCNA_R0123	895	24	108	7065.35276051148	55.5069037544148
rna-CCNA_R0205	5	0	36	118.413733416393	0
rna-CCNA_R0124	147	2	775	161.714961868272	0.644596301664172
rna-CCNA_R0020	2	0	98	17.3995689917966	0
rna-CCNA_R0125	5	0	72	59.2068667081967	0
rna-CCNA_R0021	131	3	77	1450.49134231613	9.73172987902078
rna-CCNA_R0022	871	17	74	10035.0838513633	57.3821369893613
rna-CCNA_R0126	74	2	414	152.393326483706	1.20667182074815
rna-CCNA_R0023	288	8	77	3188.86646249654	25.9512796773887
rna-CCNA_R0127	2408	58	154	13331.2334057147	94.0733888305342
rna-CCNA_R0128	86	0	35	2094.90810661231	0
rna-CCNA_R0129	17607	189	181	82935.6704457987	260.821114050441
rna-CCNA_R0130	8	0	85	80.2427181739325	0
rna-CCNA_R0024	3369	25	90	31914.8694303864	69.3836296930185
rna-CCNA_R0025	122	9	337	308.648734222433	6.67071098532285
rna-CCNA_R0131	2	0	62	27.5025445354204	0
rna-CCNA_R0026	1609	37	75	18290.6589184298	123.225326334801
rna-CCNA_R0027	2031	42	75	23087.8360865947	139.877397461125
rna-CCNA_R0132	553	17	116	4064.44931871304	36.6058460104546
rna-CCNA_R0133	32	1	67	407.201853419956	3.72807562529652
rna-CCNA_R0028	348	12	76	3903.91382168573	39.4391158255053
rna-CCNA_R0134	20	0	75	227.354368159475	0
rna-CCNA_R0135	7	0	75	79.5740288558164	0
rna-CCNA_R0136	63	1	86	624.563598577629	2.90443101040543
rna-CCNA_R0137	55	1	276	169.897965336565	0.905003865561111
rna-CCNA_R0029	98	0	75	1114.03640398143	0
rna-CCNA_R0030	6130	123	86	60771.0295123947	357.245014279867
rna-CCNA_R0031	2098	46	74	24171.7633985767	155.269311853566
rna-CCNA_R0032	49	4	66	632.975229534903	15.1382464784768
rna-CCNA_R0033	459	8	75	5217.78274925996	26.6433138021191
rna-CCNA_R0034	302	6	75	3433.05095920808	19.9824853515893
rna-CCNA_R0138	329	7	371	756.060516756746	4.71285031877107
rna-CCNA_R0139	0	0	80	0	0
rna-CCNA_R0140	74	2	83	760.130568244029	6.01882088903293
rna-CCNA_R0035	1271	15	77	14073.0877563649	48.6586493951039
rna-CCNA_R0036	1451	15	75	16494.5594099699	49.9562133789733
rna-CCNA_R0037	1638	29	75	18620.322752261	96.5820125326818
rna-CCNA_R0038	134	8	77	1483.70870130047	25.9512796773887
rna-CCNA_R0039	200	4	77	2214.49059895593	12.9756398386944
rna-CCNA_R0141	139	2	326	363.522896942106	1.53239918340409
