Gene_ID	Read_Counts_Depleted	Read_Counts_Total	Gene_Length	DepletedRPKM	TotalRPKM
rna-BSU_rRNA_1	7331	130793	1555	10823.0320144726	22951.975125487
rna-BSU_tRNA_5	23	0	77	685.730123098694	0
rna-BSU_tRNA_6	116	75	76	3503.97108668051	269.285908489582
rna-BSU_rRNA_2	19356	238738	2928	15176.1167175661	22249.3042841299
rna-BSU_rRNA_3	49	190	119	945.290374297177	435.684988077262
rna-BSU_misc_RNA_1	1444	31	213	15563.3723060007	39.7144037809988
rna-BSU_tRNA_7	4481	90	93	110613.494382237	264.073923163977
rna-BSU_misc_RNA_2	3634	79	354	23566.6459819738	60.8961429217119
rna-BSU_rRNA_4	7148	128488	1554	10559.6529806119	22561.9956547466
rna-BSU_tRNA_8	27	1	77	804.98753581151	3.54384918531745
rna-BSU_tRNA_9	139	93	76	4198.72397455682	333.914526527082
rna-BSU_rRNA_5	19126	233718	2927	15000.9079447378	21788.9045028493
rna-BSU_rRNA_26	74	243	119	1427.58138159165	557.218168961973
rna-BSU_tRNA_10	236	3	77	7036.18735005616	10.6315475559523
rna-BSU_tRNA_11	396	1	72	12626.3785709694	3.78994982318671
rna-BSU_rRNA_6	7481	133823	1554	11051.5898080522	23498.801012586
rna-BSU_rRNA_7	19396	239680	2928	15207.4788103902	22337.0944333129
rna-BSU_rRNA_8	41	136	118	797.660279521952	314.501598886816
rna-BSU_tRNA_12	118	3	76	3564.38438127845	10.7714363395833
rna-BSU_tRNA_13	286	7	76	8639.1011275054	25.1333514590277
rna-BSU_tRNA_14	264	3	76	7974.55488692806	10.7714363395833
rna-BSU_tRNA_15	527	29	83	14576.3450315463	95.3423521784802
rna-BSU_tRNA_16	196	4	75	5999.44290887275	14.553407321037
rna-BSU_tRNA_17	345	4	86	9209.51502533711	12.6919249892764
rna-BSU_tRNA_18	91	0	77	2713.10613921657	0
rna-BSU_tRNA_19	74	5	77	2206.2621351871	17.7192459265872
rna-BSU_tRNA_20	128	24	76	3866.45085426815	86.1714907166663
rna-BSU_rRNA_9	7252	129247	1554	10713.2909087013	22695.2731180269
