Gene_ID	Gene_Length	RiboZero_Ctrl	RiboZero_Rif	RiboZero_Chlo	DIY_Ctrl	DIY_Rif	DIY_Chlo	RiboZero_Ctrl_RPKM	RiboZero_Rif_RPKM	RiboZero_Chlo_RPKM	DIY_Ctrl_RPKM	DIY_Rif_RPKM	DIY_Chlo_RPKM
rna-b4413	59	30	9	26	16	6	43	148.935061438766	29.5255341149438	136.248133675685	28.1157844201494	15.2425942325311	48.0951944649607
rna-b4762	93	186	177	192	195	81	285	585.811241659146	368.38130557032	638.303911612142	217.38716381305	130.545444152806	202.230731414932
rna-b4577	227	236	412	287	301	253	617	304.518619012243	351.300383390139	390.899635298268	137.474728942025	167.053013295882	179.367827487754
rna-b4810	174	8306	9266	4101	10189	6073	10026	13982.0349805197	10307.4280634962	7287.01639611739	6071.0603160766	5231.34886175815	3802.45158548999
rna-b4414	136	13712	12184	23456	14815	5892	45905	29531.7784765817	17340.3654834412	53324.1903807453	11293.9271254073	6493.56929885577	22274.4159050833
rna-b4809	61	129	209	59	128	101	122	619.423362082212	663.16823528483	299.041458590832	217.55164338214	248.171090250417	131.982161555009
rna-b0201	1542	572	1427	1211	288912	207659	486926	108.652409283084	179.121148129375	242.811356455004	19425.1079359297	20184.8736130844	20838.3741885
rna-b0202	77	2425	1218	5328	3152	816	11912	9224.62507158071	3061.70841640417	21393.543115494	4244.02288721294	1588.39709249129	10208.9058989822
rna-b0203	76	4013	2219	7898	5137	1298	16124	15466.1875840668	5651.3339939511	32130.1507218943	7007.74365905604	2559.88673578003	14000.5287691642
rna-b0204	2904	1931	3356	2118	309042	227871	515516	194.766099800932	223.682807502882	225.495858237722	11033.2415779429	11761.2124788398	11714.6893932837
rna-b0205	120	115	281	216	13097	10298	18699	280.701219961674	453.244287121901	556.521222936837	11315.4756690058	12862.674845819	10283.0601621546
rna-b0206	77	1246	1307	1509	2114	978	3800	4739.74550069673	3285.42931054208	6059.09469994002	2846.4036749899	1903.74063291236	3256.70268772099
rna-b0216	77	4405	1304	11549	6555	951	28035	16756.4838929126	3277.88815680709	46372.7532734309	8826.00571880738	1851.18337617551	24026.7525921732
rna-b0244	76	325	177	491	295	57	546	1252.5569311791	450.78238707947	1997.45555893265	402.430286046629	112.414132464917	474.093817164702
rna-b4690	75	40	47	46	68	23	98	156.216331109106	121.295268297391	189.629453741441	94.0004392446996	45.9648897189882	86.2283455492723
rna-b0455	114	131546	233592	137905	168672	136357	260634	337987.392961816	396607.003249219	374011.009985889	153398.240018208	179280.162111329	150872.976731264
rna-b4585	84	77	57	56	86	26	97	268.496819093775	131.341760884333	206.118971458088	106.145453979046	46.3931340331402	76.2039861359275
rna-b4831	235	2136	2797	1382	3304	1832	3659	2662.32513230625	2303.73154432641	1818.23245886219	1457.65387013996	1168.46916695448	1027.49516836123
rna-b0536	77	308	119	610	300	43	881	1171.62248331829	299.132431487764	2449.33582966429	403.93618850377	83.7022977660851	755.040807337419
rna-b4835	60	5	3	4	5	0	13	24.4088017357978	9.67781395989824	20.6118971458088	8.63974625410841	0	14.2980675017926
rna-b4763	163	3679	5109	3033	5579	3372	7167	6611.04158915337	6066.74251792884	5752.99546410165	3548.55050441749	3100.69901571942	2901.58328792867
