# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "6" "-t" "exon" "-g" "Parent" "-a" "../Reference_data/genomic.gff" "-o" "feature_counts.txt" "-p" "SRR10775302.bam" "SRR10775303.bam" "SRR10775304.bam" "SRR10775305.bam" "SRR10775306.bam" "SRR10775307.bam" 
Geneid	Chr	Start	End	Strand	Length	SRR10775302.bam	SRR10775303.bam	SRR10775304.bam	SRR10775305.bam	SRR10775306.bam	SRR10775307.bam
rna-b4413	NC_000913.3	16952	17010	+	59	30	9	26	16	6	43
rna-b4762	NC_000913.3	75516	75608	-	93	186	177	192	195	81	285
rna-b4577	NC_000913.3	77367	77593	+	227	236	412	287	301	253	617
rna-b4810	NC_000913.3	92485	92658	+	174	8306	9266	4101	10189	6073	10026
rna-b4414	NC_000913.3	189712	189847	+	136	13712	12184	23456	14815	5892	45905
rna-b4809	NC_000913.3	194784	194844	+	61	129	209	59	128	101	122
rna-b0201	NC_000913.3	223771	225312	+	1542	572	1427	1211	288912	207659	486926
rna-b0202	NC_000913.3	225381	225457	+	77	2425	1218	5328	3152	816	11912
rna-b0203	NC_000913.3	225500	225575	+	76	4013	2219	7898	5137	1298	16124
rna-b0204	NC_000913.3	225759	228662	+	2904	1931	3356	2118	309042	227871	515516
rna-b0205	NC_000913.3	228756	228875	+	120	115	281	216	13097	10298	18699
rna-b0206	NC_000913.3	228928	229004	+	77	1246	1307	1509	2114	978	3800
rna-b0216	NC_000913.3	236931	237007	+	77	4405	1304	11549	6555	951	28035
rna-b0244	NC_000913.3	262871	262946	+	76	325	177	491	295	57	546
rna-b4690	NC_000913.3	272580	272654	+	75	40	47	46	68	23	98
rna-b0455	NC_000913.3	476448	476561	+	114	131546	233592	137905	168672	136357	260634
rna-b4585	NC_000913.3	507204	507287	+	84	77	57	56	86	26	97
rna-b4831	NC_000913.3	533629	533863	+	235	2136	2797	1382	3304	1832	3659
rna-b0536	NC_000913.3	564723	564799	+	77	308	119	610	300	43	881
rna-b4835	NC_000913.3	607733	607792	-	60	5	3	4	5	0	13
rna-b4763	NC_000913.3	686681	686843	-	163	3679	5109	3033	5579	3372	7167
rna-b0664	NC_000913.3	696430	696504	-	75	2956	2224	8849	4037	1298	17375
rna-b0665	NC_000913.3	696542	696616	-	75	3973	1869	11698	5199	1144	23193
rna-b0666	NC_000913.3	696664	696740	-	77	1651	562	4515	2375	286	9385
rna-b0668	NC_000913.3	696756	696830	-	75	7011	2538	16061	10284	1454	34898
rna-b0670	NC_000913.3	696865	696939	-	75	13561	4521	30829	19551	2432	67565
rna-b0672	NC_000913.3	696963	697047	-	85	19345	5234	38792	26156	2985	82129
rna-b0673	NC_000913.3	697057	697133	-	77	801	230	1567	1060	156	3697
rna-b4808	NC_000913.3	708236	708333	+	98	178	17	33	164	3	46
rna-b4764	NC_000913.3	765050	765150	+	101	2677	5971	2400	3839	3321	5307
rna-b0743	NC_000913.3	780554	780629	+	76	8552	3378	27568	11217	1718	51527
rna-b0744	NC_000913.3	780765	780840	+	76	9150	2829	25659	12321	1564	53560
rna-b0745	NC_000913.3	780843	780918	+	76	1754	603	5907	2604	385	11639
rna-b0746	NC_000913.3	781068	781143	+	76	6551	2746	16073	9619	1449	36226
rna-b0747	NC_000913.3	781147	781222	+	76	1220	441	3848	1775	259	7834
rna-b0748	NC_000913.3	781369	781444	+	76	2215	894	6628	3120	531	14339
rna-b0749	NC_000913.3	781577	781652	+	76	2083	693	5380	2927	428	11164
rna-b4814	NC_000913.3	837435	837531	-	97	161	201	180	253	70	286
rna-b4416	NC_000913.3	852725	853064	-	340	850	228	685	890	101	1652
rna-b4417	NC_000913.3	887979	888057	-	79	80	97	79	108	58	135
rna-b0883	NC_000913.3	925884	925971	-	88	928	582	1924	1487	507	4399
rna-b0971	NC_000913.3	1031625	1031712	-	88	6912	2014	9830	9747	1252	21776
rna-b1032	NC_000913.3	1097565	1097652	-	88	935	552	1984	1593	500	4452
rna-b4826	NC_000913.3	1140986	1141063	+	78	35	78	58	40	33	87
rna-b4418	NC_000913.3	1146589	1146757	+	169	2311	1771	4428	2525	867	8876
rna-b4832	NC_000913.3	1169303	1169402	+	100	18	47	57	37	16	77
rna-b4806	NC_000913.3	1196711	1196782	+	72	76	58	24	43	13	19
rna-b4420	NC_000913.3	1269323	1269389	+	67	108	190	137	148	110	260
rna-b4422	NC_000913.3	1269858	1269923	+	66	51	60	50	51	26	91
rna-b4424	NC_000913.3	1270393	1270460	+	68	62	104	66	60	41	130
rna-b4813	NC_000913.3	1279337	1279520	+	184	94	112	60	79	36	119
rna-b4425	NC_000913.3	1287066	1287236	-	171	215	124	1267	313	113	2789
rna-b1230	NC_000913.3	1287244	1287328	-	85	2361	639	5022	3134	467	11573
rna-b1231	NC_000913.3	1287538	1287622	-	85	2549	685	4893	3601	531	11936
rna-b4426	NC_000913.3	1405658	1405751	-	94	74	89	68	99	27	78
rna-b4699	NC_000913.3	1409129	1409250	+	122	93	107	78	69	71	212
rna-b4714	NC_000913.3	1413556	1413734	+	179	3	3	1	6	2	8
rna-b4833	NC_000913.3	1418405	1418502	-	98	0	1	1	0	0	0
rna-b4427	NC_000913.3	1437121	1437231	+	111	14	19	7	4	5	21
rna-b4597	NC_000913.3	1491442	1491506	-	65	129	90	131	107	36	137
rna-b4429	NC_000913.3	1492119	1492175	+	57	520	782	393	771	504	1009
rna-b4698	NC_000913.3	1622817	1622914	-	98	136	134	261	175	57	583
rna-b1574	NC_000913.3	1649382	1649434	+	53	44	53	29	60	42	95
rna-b1665	NC_000913.3	1746435	1746511	+	77	145	71	215	172	52	373
rna-b1666	NC_000913.3	1746516	1746592	+	77	321	109	510	439	64	1235
rna-b4430	NC_000913.3	1764713	1764780	-	68	27	43	11	9	2	11
rna-b4431	NC_000913.3	1770372	1770477	+	106	15	31	26	11	9	42
rna-b4432	NC_000913.3	1923066	1923337	+	272	3465	2358	1628	4652	1318	3138
rna-b4433	NC_000913.3	1923104	1923207	-	104	0	0	0	0	0	0
rna-b4717	NC_000913.3	1958441	1958520	-	80	180	202	216	242	102	506
rna-b4828	NC_000913.3	1977208	1977302	-	95	80	44	78	77	19	130
rna-b4759	NC_000913.3	1991748	1991814	-	67	3213	807	6027	3926	528	13280
rna-b1909	NC_000913.3	1991815	1991901	-	87	2086	653	4223	2878	403	8964
rna-b1910	NC_000913.3	1991914	1991987	-	74	4642	975	8167	6853	551	18515
rna-b1911	NC_000913.3	1992042	1992117	-	76	1939	643	3218	2673	405	7090
rna-b4719	NC_000913.3	1996921	1997057	+	137	420	249	275	409	122	492
rna-b4827	NC_000913.3	2001912	2002106	-	195	1965	3122	2883	2903	1718	6562
rna-b1954	NC_000913.3	2025223	2025313	-	91	39	43	55	47	29	112
rna-b4603	NC_000913.3	2033649	2033739	+	91	0	0	2	0	0	1
rna-b1975	NC_000913.3	2043468	2043557	-	90	999	454	543	1368	521	1096
rna-b1977	NC_000913.3	2044549	2044624	+	76	180	103	222	211	49	458
rna-b1984	NC_000913.3	2058027	2058102	-	76	121	71	109	136	43	223
rna-b1986	NC_000913.3	2059851	2059926	+	76	253	126	362	278	72	745
rna-b1989	NC_000913.3	2062260	2062335	+	76	160	123	299	213	68	560
rna-b4435	NC_000913.3	2071317	2071511	+	195	344	106	265	423	69	538
rna-b4436	NC_000913.3	2153311	2153454	+	144	2216	2174	1044	4257	1804	3143
rna-b4437	NC_000913.3	2153646	2153781	+	136	2230	906	1106	3006	553	2322
rna-b4438	NC_000913.3	2167114	2167200	+	87	192	209	302	198	132	738
rna-b2189	NC_000913.3	2286211	2286287	+	77	1275	340	1626	2771	400	5182
rna-b4439	NC_000913.3	2313084	2313176	+	93	5	9	6	5	2	17
